SectionName,hw,tw,bf,tf,Fy,a3,s,w,E,G,nu,phi_s,phi_f,L,omega2,alpha_LT
WTA333/127×6,333,1.9,127,6,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/152×6,333,1.9,152,6,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/152×8,333,1.9,152,8,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/152×10,333,1.9,152,10,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/178×10,333,1.9,178,10,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/152×13,333,1.9,152,13,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/178×13,333,1.9,178,13,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/203×13,333,1.9,203,13,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/152×19,333,1.9,152,19,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/203×16,333,1.9,203,16,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/203×19,333,1.9,203,19,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/254×19,333,1.9,254,19,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/203×25,333,1.9,203,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/254×25,333,1.9,254,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/279×25,333,1.9,279,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/305×25,333,1.9,305,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/254×32,333,1.9,254,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/330×25,333,1.9,330,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/356×25,333,1.9,356,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/305×32,333,1.9,305,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/406×25,333,1.9,406,25,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/356×32,333,1.9,356,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/406×32,333,1.9,406,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTA333/450×32,333,1.9,450,32,350,40,88.985,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/127×6,333,2.66,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/152×6,333,2.66,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/152×8,333,2.66,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/152×10,333,2.66,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/178×10,333,2.66,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/152×13,333,2.66,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/178×13,333,2.66,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/203×13,333,2.66,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/152×19,333,2.66,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/203×16,333,2.66,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/203×19,333,2.66,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/254×19,333,2.66,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/203×25,333,2.66,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/254×25,333,2.66,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/279×25,333,2.66,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/305×25,333,2.66,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/254×32,333,2.66,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/330×25,333,2.66,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/356×25,333,2.66,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/305×32,333,2.66,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/406×25,333,2.66,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/356×32,333,2.66,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/406×32,333,2.66,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTB333/450×32,333,2.66,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/127×6,333,3.04,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/152×6,333,3.04,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/152×8,333,3.04,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/152×10,333,3.04,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/178×10,333,3.04,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/152×13,333,3.04,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/178×13,333,3.04,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/203×13,333,3.04,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/152×19,333,3.04,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/203×16,333,3.04,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/203×19,333,3.04,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/254×19,333,3.04,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/203×25,333,3.04,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/254×25,333,3.04,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/279×25,333,3.04,279,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/305×25,333,3.04,305,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/254×32,333,3.04,254,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/330×25,333,3.04,330,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/356×25,333,3.04,356,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/305×32,333,3.04,305,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/406×25,333,3.04,406,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/356×32,333,3.04,356,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/406×32,333,3.04,406,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTC333/450×32,333,3.04,450,32,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/127×6,333,4.18,127,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/152×6,333,4.18,152,6,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/152×8,333,4.18,152,8,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/152×10,333,4.18,152,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/178×10,333,4.18,178,10,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/152×13,333,4.18,152,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/178×13,333,4.18,178,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/203×13,333,4.18,203,13,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/152×19,333,4.18,152,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/203×16,333,4.18,203,16,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/203×19,333,4.18,203,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/254×19,333,4.18,254,19,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/203×25,333,4.18,203,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
WTF333/254×25,333,4.18,254,25,350,43,90.596,77.5,200000,77000,0.3,0.75,0.9,6000,1,0.34
